epoch,acc,loss,val_acc,val_loss
0,0.11254000000953675,2.3020998459625246,0.114,2.301199967956543
1,0.11866000000476837,2.300098310546875,0.1113,2.2996591064453127
2,0.11588000000238419,2.298712159500122,0.1077,2.2984135620117185
3,0.11459999999523163,2.2973890367126466,0.1075,2.29704912109375
4,0.11475999999761581,2.29585131729126,0.108,2.295392568206787
5,0.11544,2.2939613517761233,0.1099,2.293285272979736
6,0.11957999999046326,2.291544257583618,0.1132,2.2905307357788085
7,0.1256800000023842,2.288356421585083,0.1226,2.2868151123046876
8,0.14440000000953673,2.2839884471893313,0.1531,2.2815718475341797
9,0.20306000000953675,2.2777093230438235,0.2523,2.2738954082489014
10,0.3301399999904633,2.2683112714385985,0.3887,2.2620953945159914
11,0.42051999999046324,2.253392978591919,0.4613,2.242765574645996
12,0.47635999998092654,2.228023208389282,0.5012,2.208663349533081
13,0.51482,2.180361803588867,0.5491,2.1411183864593504
14,0.5593399999809265,2.079764661941528,0.5967,1.9910898284912109
15,0.613879999961853,1.8471999712753295,0.6419,1.644497866821289
16,0.6730200000190735,1.400262346496582,0.7338,1.1216106510162354
17,0.7486200000190735,0.9610688534545898,0.8015,0.7791029291152954
18,0.7986799999809265,0.7240815133857728,0.8358,0.6102736555099487
19,0.831200000038147,0.6004447908210755,0.862,0.5178883485794067
