epoch,acc,loss,val_acc,val_loss
0,0.914120000038147,0.29314029750347137,0.9726,0.09960387621968984
1,0.9726400000190735,0.08908454658508301,0.979,0.06993890352025628
2,0.979719999961853,0.06646264917850495,0.9803,0.06343281476572156
3,0.984320000038147,0.04914392905592918,0.9847,0.05183661800846458
4,0.9872199999618531,0.040488445032835,0.9841,0.05311465873010456
5,0.988940000038147,0.03312760484576225,0.9867,0.048156721256114546
6,0.99066,0.029217429788857698,0.9855,0.044651931031187996
7,0.992,0.024573229413330556,0.9877,0.04276507263358217
8,0.99312,0.020400951755791902,0.9854,0.05253228711748961
9,0.993880000038147,0.018002920800447464,0.9856,0.05538802978818421
10,0.9945400000190735,0.01595055293738842,0.9856,0.057670402489311524
11,0.9943400000190735,0.016403677956610917,0.9881,0.053390384311717935
12,0.9959,0.012521207487434148,0.9864,0.05515461744648746
13,0.99578,0.01263471744056791,0.9876,0.05460082459540572
14,0.99666,0.010030060568768531,0.9888,0.05119362480319687
15,0.9965600000381469,0.010264534661509096,0.9854,0.06243385096629281
16,0.99688,0.008714259928925895,0.9881,0.05484163238108049
17,0.9971600000190735,0.007523693105159327,0.9889,0.0511024959023398
18,0.9970800000190735,0.008575528821130282,0.9874,0.062091094673431144
19,0.99718,0.007739839409361593,0.987,0.05897838674446029
