epoch,acc,loss,val_acc,val_loss
0,0.10102000000238419,2.299578847732544,0.1028,2.2881839210510253
1,0.13671999999046325,2.277261474456787,0.1826,2.2637245922088622
2,0.23501999999046325,2.2482859178161623,0.2921,2.225622265625
3,0.33702000000953675,2.1938021098327636,0.3792,2.1458449348449706
4,0.4235999999809265,2.069126276092529,0.5029,1.9518626518249511
5,0.5960200000190735,1.748972610092163,0.7305,1.4584445156097412
6,0.7545999999809265,1.1671945193290711,0.8193,0.8564001564025879
7,0.8205,0.7338970129013062,0.8587,0.5707125347137452
8,0.852980000038147,0.5505922941589355,0.8792,0.4529852760791779
9,0.871140000038147,0.4649434915924072,0.8906,0.39167585620880124
10,0.8831999999809265,0.41316405405044554,0.9019,0.3557828715324402
11,0.8919400000190735,0.3786189672470093,0.9065,0.3280665241003036
12,0.8985999999809265,0.353229527759552,0.9093,0.3066853219985962
13,0.9035199999618531,0.3336455229473114,0.9149,0.2917511111736298
14,0.90756,0.3175084618186951,0.9157,0.27920715403556823
15,0.91138,0.3037956192111969,0.9194,0.26739975180625913
16,0.9136800000190735,0.29219583921432496,0.9208,0.25940512769222257
17,0.916239999961853,0.2812762954759598,0.924,0.2507043594121933
18,0.91842,0.2712787045097351,0.929,0.2394061290025711
19,0.9222799999618531,0.2625226349925995,0.9291,0.23412223888635636
