epoch,acc,loss,val_acc,val_loss
0,0.48768,1.6589956226444245,0.8695,0.4653766983985901
1,0.888080000038147,0.37467093039512633,0.9202,0.26660536563396453
2,0.9215199999618531,0.259601042509079,0.9399,0.20653997738957405
3,0.934880000038147,0.21161007108926774,0.9345,0.20546019427776338
4,0.945,0.1793164853286743,0.9549,0.1498378761768341
5,0.952399999961853,0.1557363783454895,0.9598,0.13870934384465217
6,0.9578800000190735,0.13905053673267365,0.9623,0.12676256730556487
7,0.962,0.1259825138783455,0.9663,0.1133191274613142
8,0.9662200000190735,0.11176996217250824,0.9655,0.11501464026272297
9,0.9682000000190735,0.10524152424216271,0.9713,0.1003996163547039
10,0.97036,0.09755419219613075,0.9683,0.10598738508820534
11,0.9719600000190735,0.09017002469778061,0.9739,0.08957594776302576
12,0.9743800000190734,0.08345518542051315,0.9751,0.08657783586159348
13,0.974860000038147,0.08014272434711456,0.9771,0.08212263464927673
14,0.97746,0.07448682659983635,0.9755,0.08178108243495226
15,0.9784599999809265,0.06890987988948823,0.9785,0.07418514066934585
16,0.9788000000190735,0.06727125534653663,0.9764,0.07796447495445609
17,0.9809199999809265,0.06354386381864548,0.98,0.06909646225348115
18,0.9811600000190734,0.061624174815416335,0.9787,0.07117081905081868
19,0.981180000038147,0.059349307285547256,0.978,0.07351332968696953
