epoch,acc,loss,val_acc,val_loss
0,0.29868000001907347,2.071326580162048,0.5722,1.755184497833252
1,0.676800000038147,1.4368222564315796,0.7749,1.0493966089248656
2,0.8011999999809265,0.8462925613021851,0.8483,0.6216486238479614
3,0.8516800000381469,0.5704926377487183,0.8804,0.4584933039188385
4,0.8750000000190735,0.45523315573692325,0.8962,0.3818190135478973
5,0.89002,0.39416957436561584,0.9064,0.33794581060409545
6,0.8992199999809265,0.35554479135513306,0.9085,0.31526444420814514
7,0.906400000038147,0.3277885026073456,0.9198,0.2870859832525253
8,0.9125400000190735,0.3067597710990906,0.9256,0.26990051250457764
9,0.916540000038147,0.28912672365188596,0.9283,0.2565926663160324
10,0.9201000000190734,0.27470351263999937,0.9308,0.24456697479486467
11,0.923239999961853,0.2617131503200531,0.934,0.23569153056144715
12,0.926920000038147,0.25082096492290495,0.9366,0.2252620212674141
13,0.9290999999809265,0.24050778364658357,0.9378,0.21943538370132445
14,0.9318599999809265,0.2312214357471466,0.9393,0.21282565202713014
15,0.93394,0.22299317586898804,0.9427,0.20314930320978164
16,0.9361599999809265,0.21564960522651672,0.9444,0.195957591176033
17,0.9382199999809265,0.2088491399383545,0.9457,0.1919647532224655
18,0.9400199999809266,0.20272201532363893,0.9476,0.18591851397752762
19,0.940660000038147,0.19664059638023376,0.9489,0.1825829717874527
